Product Id,Product Type,Product,Type,Market Size,Market,State,Budget Sales,Budget Profit,Cogs,Profit,Sales,Total Expenses,Date,Country
11,Tea,Darjeeling,Regular,Small Market,Central,Iowa,400,140,228,141,456,87,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,Central,Iowa,480,160,245,175,546,126,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,Central,Missouri,190,40,85,39,190,66,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Missouri,170,50,78,47,170,45,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,Central,Missouri,60,0,34,-4,76,46,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Missouri,140,70,50,48,123,25,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Missouri,130,60,46,45,114,23,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Missouri,70,0,37,-11,90,64,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Missouri,80,-20,88,-39,99,50,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,Central,Missouri,70,10,35,9,82,38,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,Central,Missouri,50,-10,29,-9,65,45,1/1/2010,USA
1,Coffee,Amaretto,Regular,Major Market,Central,Ohio,140,50,60,34,140,46,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,Central,Ohio,140,50,57,42,140,41,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Ohio,150,20,63,0,150,87,1/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,Central,Ohio,170,60,84,67,200,49,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Ohio,150,40,58,16,130,56,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Ohio,400,140,170,99,341,72,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Ohio,70,50,32,29,80,19,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Ohio,70,50,32,29,80,19,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,Central,Ohio,180,60,84,68,210,58,1/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,Central,Wisconsin,120,30,54,13,120,53,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,Central,Wisconsin,190,20,79,9,190,102,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Wisconsin,180,60,77,51,180,52,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,Central,Wisconsin,150,10,75,7,180,98,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Wisconsin,120,50,48,34,110,28,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Wisconsin,170,50,69,38,150,43,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Wisconsin,150,80,67,70,180,43,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Wisconsin,70,50,33,28,81,20,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,Central,Wisconsin,130,50,61,47,150,42,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,East,Connecticut,130,60,50,47,123,26,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,East,Connecticut,100,40,38,35,94,21,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,East,Connecticut,120,40,55,30,130,45,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,East,Connecticut,170,20,75,7,180,98,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,East,Connecticut,290,130,124,115,310,71,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,East,Connecticut,140,40,85,40,190,65,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Small Market,East,Connecticut,130,50,78,47,170,45,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,East,Florida,80,40,32,28,80,20,1/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,East,Florida,80,40,33,28,81,20,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,East,Florida,170,60,77,50,180,53,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,East,Florida,180,30,79,9,190,102,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,East,Florida,190,70,84,67,200,49,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,East,Florida,190,70,84,68,210,58,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,East,Florida,80,30,48,34,110,28,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,East,Florida,90,20,54,13,120,53,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,East,Florida,110,40,69,39,150,42,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,East,Massachusetts,80,40,32,29,80,19,1/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,East,Massachusetts,80,40,32,29,80,19,1/1/2010,USA
7,Espresso,Regular Espresso,Regular,Major Market,East,Massachusetts,330,110,170,100,341,71,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,East,Massachusetts,120,-10,63,-23,126,86,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,East,Massachusetts,460,360,72,367,494,55,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,East,Massachusetts,100,30,58,17,130,55,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,East,New Hampshire,40,20,18,10,45,17,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,East,New Hampshire,40,20,17,11,43,15,1/1/2010,USA
7,Espresso,Regular Espresso,Regular,Small Market,East,New Hampshire,60,0,29,-8,65,44,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,East,New Hampshire,80,0,37,-10,90,63,1/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,East,New Hampshire,80,30,38,20,93,35,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,East,New Hampshire,110,40,48,25,120,47,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,East,New Hampshire,50,0,34,-4,76,46,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,East,New York,250,120,95,101,234,38,1/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,East,New York,230,110,89,94,219,36,1/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,East,New York,140,70,54,54,134,26,1/1/2010,USA
7,Espresso,Regular Espresso,Regular,Major Market,East,New York,480,200,228,175,490,87,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,East,New York,50,-170,105,-172,61,128,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,East,New York,640,260,271,262,678,145,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,East,New York,370,100,245,111,483,127,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,East,New York,140,-70,207,-113,180,86,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,South,Louisiana,150,80,67,70,180,43,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,South,Louisiana,120,50,61,48,150,41,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,South,Louisiana,100,40,49,35,112,28,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,South,Louisiana,180,40,85,40,190,65,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,South,Louisiana,150,10,75,8,180,97,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,South,Louisiana,100,50,34,30,85,21,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,South,Louisiana,100,50,33,28,81,20,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,South,New Mexico,70,-10,37,-10,90,63,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,South,New Mexico,70,10,35,9,82,38,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,South,New Mexico,40,20,18,11,45,16,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,South,New Mexico,60,20,28,4,62,30,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,South,New Mexico,50,0,29,-8,65,44,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,South,New Mexico,150,50,48,26,120,46,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,South,New Mexico,120,-30,88,-39,99,50,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,South,Oklahoma,60,40,32,28,80,20,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,South,Oklahoma,180,70,84,67,210,59,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,South,Oklahoma,110,20,54,13,120,53,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,South,Oklahoma,180,30,79,10,190,101,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,South,Oklahoma,170,70,84,66,200,50,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,South,Oklahoma,120,50,44,29,100,27,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,South,Oklahoma,100,50,32,28,80,20,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,South,Texas,180,90,89,95,219,35,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,South,Texas,110,60,54,54,134,26,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,South,Texas,130,50,60,33,140,47,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,South,Texas,130,50,57,42,140,41,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Major Market,South,Texas,150,50,72,53,180,55,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,South,Texas,560,220,207,159,452,86,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,South,Texas,230,100,83,68,190,39,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,West,Utah,100,40,46,44,114,24,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,West,Utah,100,40,49,34,112,29,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Utah,110,50,50,47,123,26,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Utah,80,30,38,21,93,34,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,West,Utah,100,30,48,25,120,47,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Small Market,West,Utah,80,-30,88,-40,99,51,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,West,Utah,60,0,37,-10,90,63,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,West,Utah,50,10,35,9,82,38,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,West,Utah,40,10,29,-9,65,45,1/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,West,Utah,210,80,78,47,170,45,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,West,Utah,160,70,55,30,130,45,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Utah,230,70,85,39,190,66,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Major Market,West,California,430,150,228,140,456,88,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,West,California,240,20,105,17,250,128,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,West,California,520,200,234,203,546,109,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,West,California,200,100,95,102,234,37,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,West,California,390,160,207,160,452,85,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,West,California,160,60,83,67,190,40,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,West,California,140,80,89,94,219,36,1/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,West,California,90,60,54,54,134,26,1/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,West,California,120,50,72,54,180,54,1/1/2010,USA
1,Coffee,Amaretto,Regular,Major Market,West,California,180,30,95,-2,145,52,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,West,California,840,370,271,262,678,145,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,West,California,140,-120,144,-117,118,91,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,West,Nevada,40,20,17,11,43,15,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,West,Nevada,40,20,18,10,45,17,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Nevada,40,20,17,11,43,15,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Nevada,70,20,28,4,62,30,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Nevada,220,30,105,16,250,129,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,West,Nevada,300,120,144,111,345,90,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Small Market,West,Nevada,200,90,95,86,234,53,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,West,Nevada,370,150,234,203,546,109,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,West,Nevada,310,100,228,141,456,87,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,West,Nevada,0,-240,245,-354,17,126,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,West,Nevada,90,10,34,-3,76,45,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,West,Oregon,120,20,58,16,130,56,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,West,Oregon,130,50,60,33,140,47,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Oregon,320,100,170,99,341,72,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Oregon,170,70,57,42,140,41,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Oregon,70,40,36,33,90,21,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,West,Oregon,80,30,44,29,100,27,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,West,Oregon,50,30,32,28,80,20,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,West,Oregon,140,60,84,68,210,58,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,West,Oregon,130,50,84,67,200,49,1/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,West,Oregon,180,40,63,1,150,86,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,West,Oregon,200,60,67,28,160,65,1/1/2010,USA
4,Espresso,Caffe Latte,Regular,Small Market,West,Washington,100,40,48,35,110,27,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,West,Washington,110,20,54,13,120,53,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Washington,140,60,69,39,150,42,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Washington,230,60,79,9,190,102,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Washington,270,120,124,115,310,71,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,West,Washington,70,50,34,30,85,21,1/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,West,Washington,120,50,67,70,180,43,1/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,West,Washington,100,40,61,48,150,41,1/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,West,Washington,120,20,75,8,180,97,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,West,Washington,160,70,53,38,130,39,1/1/2010,USA
1,Coffee,Amaretto,Regular,Major Market,Central,Colorado,250,120,99,105,243,39,2/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,Central,Colorado,190,80,83,68,190,39,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Colorado,240,110,95,99,232,38,2/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,Central,Colorado,80,30,44,30,100,26,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Colorado,220,110,77,80,189,32,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Colorado,220,90,75,59,189,55,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Colorado,290,100,170,99,340,71,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Colorado,110,10,54,-3,129,78,2/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,Central,Colorado,120,40,60,33,140,47,2/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,Central,Colorado,110,10,59,18,132,55,2/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,Central,Colorado,110,30,62,34,136,40,2/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,Central,Illinois,370,140,148,115,354,91,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Illinois,260,100,104,95,254,55,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Illinois,640,260,234,201,545,110,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Illinois,530,180,228,142,457,87,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Illinois,210,110,99,105,243,39,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Illinois,160,60,83,68,190,39,2/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,Central,Illinois,200,100,95,99,232,38,2/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,Central,Illinois,160,80,77,79,189,33,2/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,Central,Illinois,160,50,75,59,189,55,2/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,Central,Iowa,40,20,18,10,45,17,2/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,Central,Iowa,60,20,28,6,63,29,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Iowa,50,20,23,12,54,19,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Iowa,50,20,19,11,47,17,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Iowa,50,40,0,32,43,11,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Iowa,470,190,234,201,545,110,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Iowa,220,110,104,95,254,55,2/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,Central,Iowa,400,140,228,141,457,88,2/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,Central,Iowa,460,150,240,169,534,125,2/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,Central,Missouri,200,50,86,42,193,65,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Missouri,170,60,75,46,165,44,2/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,Central,Missouri,60,0,33,-4,74,45,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Missouri,140,70,50,48,123,25,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Missouri,120,60,42,38,103,23,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Missouri,90,10,43,-8,104,69,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Missouri,80,-20,84,-32,102,50,2/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,Central,Missouri,70,10,35,9,82,38,2/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,Central,Missouri,50,-10,30,-7,68,45,2/1/2010,USA
1,Coffee,Amaretto,Regular,Major Market,Central,Ohio,140,50,60,33,140,47,2/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,Central,Ohio,130,50,52,38,128,38,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Ohio,130,20,54,-3,129,78,2/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,Central,Ohio,170,60,80,62,200,58,2/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,Central,Ohio,180,70,86,71,206,49,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Ohio,150,40,59,18,132,55,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Ohio,400,140,170,98,340,72,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Ohio,40,30,22,17,56,17,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Ohio,70,50,32,28,80,20,2/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,Central,Wisconsin,120,30,53,12,118,53,2/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,Central,Wisconsin,230,40,92,15,220,113,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Wisconsin,180,60,77,50,180,53,2/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,Central,Wisconsin,120,50,56,41,137,40,2/1/2010,USA
12,Tea,Earl Grey,Regular,Small Market,Central,Wisconsin,130,10,65,3,155,87,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Wisconsin,120,50,48,35,110,27,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Wisconsin,180,60,70,42,154,42,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Wisconsin,150,80,65,66,174,43,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Wisconsin,100,50,47,43,115,25,2/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,East,Connecticut,130,60,50,48,123,25,2/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,East,Connecticut,70,40,27,21,66,18,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,East,Connecticut,120,40,55,29,130,46,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,East,Connecticut,150,20,65,3,155,87,2/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,East,Connecticut,300,130,130,121,325,74,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,East,Connecticut,150,50,86,41,193,66,2/1/2010,USA
10,Herbal Tea,Mint,Decaf,Small Market,East,Connecticut,120,50,75,46,165,44,2/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,East,Florida,80,40,32,28,80,20,2/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,East,Florida,120,60,47,44,115,24,2/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,East,Florida,170,60,77,51,180,52,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,East,Florida,210,40,92,16,220,112,2/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,East,Florida,190,70,86,71,206,49,2/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,East,Florida,190,80,80,63,200,57,2/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,East,Florida,80,30,48,34,110,28,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,East,Florida,90,20,53,12,118,53,2/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,East,Florida,120,50,70,42,154,42,2/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,East,Massachusetts,80,40,32,28,80,20,2/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,East,Massachusetts,60,30,22,17,56,17,2/1/2010,USA
7,Espresso,Regular Espresso,Regular,Major Market,East,Massachusetts,330,110,170,99,340,71,2/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,East,Massachusetts,120,10,54,-4,128,78,2/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,East,Massachusetts,440,330,75,340,470,55,2/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,East,Massachusetts,100,30,59,18,132,55,2/1/2010,USA
11,Tea,Darjeeling,Regular,Small Market,East,New Hampshire,40,20,18,11,45,16,2/1/2010,USA
13,Tea,Green Tea,Regular,Small Market,East,New Hampshire,40,30,0,32,43,11,2/1/2010,USA
7,Espresso,Regular Espresso,Regular,Small Market,East,New Hampshire,60,0,30,-6,68,44,2/1/2010,USA
